policyID,statecode,county,CreditLimit,tiv_2012,point_latitude,point_longitude,line,construction,point_granularity,Country
294022,FL,ANTELOPE,96164.64,69357.78,29.959805,-82.926659,Residential,Wood,3,USA
410500,FL,SACRAMENTO,11095.92,12737.89,29.959805,-82.926659,Residential,Wood,3,USA
524433,FL,SACRAMENTO,218475,199030.29,29.962601,-82.926155,Residential,Wood,3,USA
779298,FL,SACRAMENTO,1400904,1772984.1,29.962601,-82.926155,Residential,Masonry,3,USA
491831,FL,SACRAMENTO,4365,4438.05,29.962601,-82.926155,Residential,Wood,3,USA
814637,FL,ELK GROVE,4365,6095.72,29.962601,-82.926155,Residential,Wood,3,USA
737515,FL,NORTH HIGHLANDS,39789,58106.58,29.962601,-82.926155,Residential,Wood,3,USA
222653,FL,SACRAMENTO,24867,18969.79,29.962601,-82.926155,Residential,Wood,3,USA
788543,FL,ELVERTA,213876,261435.18,29.962601,-82.926155,Residential,Wood,3,AUS
691681,FL,ELK GROVE,69435,93674.34,29.960735,-82.92542,Residential,Wood,3,AUS
368807,FL,SACRAMENTO,14922,12333.03,29.960735,-82.92542,Residential,Wood,3,AUS
174002,FL,NORTH HIGHLANDS,165546,239134.51,29.963396,-82.916763,Residential,Wood,1,AUS
198760,FL,SACRAMENTO,72837,86637.86,29.963396,-82.916763,Residential,Wood,1,AUS
831395,FL,SACRAMENTO,72837,98147.86,29.963396,-82.916763,Residential,Wood,1,AUS
305698,FL,SACRAMENTO,19440,30658.59,29.963396,-82.916763,Residential,Wood,1,AUS
515722,FL,SACRAMENTO,9945,11551.12,29.963396,-82.916763,Residential,Wood,1,AUS
415582,FL,SACRAMENTO,255878.61,345894.66,29.958415,-82.92394,Residential,Wood,3,AUS
783533,FL,ELK GROVE,153527.17,138228.8,29.9696,-82.92767,Residential,Wood,4,AUS
640802,FL,ANTELOPE,255878.61,177339.74,29.959404,-82.927582,Residential,Wood,1,AUS
403866,FL,NORTH HIGHLANDS,102351.45,95132.8,29.958904,-82.922729,Residential,Wood,3,AUS
828788,FL,SACRAMENTO,155489.66,145139.65,29.95822,-82.922424,Residential,Wood,1,AUS
751490,FL,SACRAMENTO,137233.8,114919.58,29.965832,-82.933777,Residential,Wood,4,AUS
972562,FL,SACRAMENTO,123596.05,183015.09,29.965721,-82.933777,Residential,Wood,4,AUS
367541,FL,SACRAMENTO,107111.11,88218.85,29.965717,-82.933777,Residential,Wood,4,AUS
481360,FL,SACRAMENTO,96309.32,85911,29.95775,-82.923635,Residential,Wood,3,AUS
920232,FL,ELK GROVE,104031.7,168443.97,30.39431,-81.93397,Residential,Wood,1,AUS
727659,FL,SACRAMENTO,338944.5,485816.61,30.56267,-81.830429,Residential,Wood,1,AUS
471817,FL,SACRAMENTO,272349,414565.56,30.56267,-81.830429,Residential,Wood,1,AUS
983043,FL,SACRAMENTO,129690,129635.53,30.561651,-81.830193,Residential,Wood,1,AUS
578286,FL,SACRAMENTO,123210,120345.61,30.56267,-81.830429,Residential,Wood,1,AUS
347276,FL,GALT,3698.64,3939.13,30.56106,-81.82632,Residential,Wood,3,AUS
477786,FL,SACRAMENTO,2115760.5,3057739.39,30.5579,-81.8249,Commercial,Reinforced Masonry,4,AUS
265907,FL,SACRAMENTO,93548.58,118401.07,30.56106,-81.82632,Residential,Wood,3,AUS
107560,FL,CARMICHAEL,1037311.14,1487255.23,30.56106,-81.82632,Residential,Masonry,3,AUS
908183,FL,SACRAMENTO,15463.3,11825.56,30.57185,-81.82383,Residential,Wood,3,AUS
356024,FL,ANTELOPE,13893.35,13988.5,30.562835,-81.826525,Residential,Wood,3,AUS
575299,FL,GALT,316618.23,230328.99,30.567566,-81.826584,Residential,Wood,1,AUS
790478,FL,ORANGEVALE,54834.66,63053.72,30.60895,-81.83645,Residential,Wood,3,AUS
801776,FL,GALT,295269.11,488965.65,30.59925,-81.81973,Residential,Wood,1,AUS
291781,FL,SACRAMENTO,723734.17,955908.09,30.53674,-81.77496,Residential,Masonry,3,AUS
537286,FL,SACRAMENTO,1741572,1455184.42,30.555161,-81.825684,Residential,Masonry,1,AUS
289305,FL,ELK GROVE,135450,164978.1,30.105968,-82.66227,Residential,Wood,4,AUS
697409,FL,ANTELOPE,60300,77678.46,30.1018,-82.7094,Residential,Wood,1,AUS
633944,FL,SACRAMENTO,22500,19501.76,30.1018,-82.7094,Residential,Wood,4,AUS
963511,FL,SACRAMENTO,34212.42,33250.37,30.1018,-82.7094,Residential,Wood,4,AUS
729649,FL,ELK GROVE,460128.2,626142.46,30.1653,-82.73404,Residential,Masonry,1,AUS
862584,FL,FOLSOM,32169.69,37291.11,30.1018,-82.7094,Residential,Wood,4,AUS
371891,FL,CARMICHAEL,50550.75,49526.38,30.17399,-82.57017,Residential,Wood,4,AUS
785595,FL,SACRAMENTO,42300,53762.62,30.1515,-82.6126,Residential,Wood,3,AUS
567696,FL,SACRAMENTO,10171.26,16798.29,30.16269,-82.64,Residential,Wood,4,AUS
219025,FL,SACRAMENTO,155342.88,176189.89,30.16269,-82.64,Residential,Wood,4,AUS
447216,FL,ELK GROVE,3698.64,4424.48,30.16269,-82.64,Residential,Wood,4,AUS
305141,FL,SACRAMENTO,4623.3,4525.86,30.16269,-82.64,Residential,Wood,4,AUS
625575,FL,ELK GROVE,33287.76,27375.62,30.16269,-82.64,Residential,Wood,4,AUS
262109,FL,ELK GROVE,21267.18,24840.49,30.163641,-82.640976,Residential,Wood,1,AUS
228457,FL,SACRAMENTO,729556.74,889825.76,30.163641,-82.640976,Residential,Masonry,1,AUS
622799,FL,RANCHO CORDOVA,350446.14,438049.26,30.163641,-82.640976,Residential,Wood,1,USA
233271,FL,CITRUS HEIGHTS,2135964.6,1728721.59,30.163641,-82.640976,Commercial,Reinforced Masonry,1,USA
932950,FL,SACRAMENTO,4623.3,4782.1,30.163641,-82.640976,Residential,Wood,1,USA
641952,FL,SACRAMENTO,2469639.6,2708463.63,30.1515,-82.6126,Commercial,Reinforced Masonry,4,USA
796260,FL,MATHER,914073.3,1296439.3,30.1515,-82.6126,Residential,Masonry,4,USA
301822,FL,RIO LINDA,3042940.5,3181868.99,30.1515,-82.6126,Commercial,Reinforced Masonry,4,USA
559927,FL,ELK GROVE,234997.65,255975.89,30.1515,-82.6126,Residential,Wood,4,USA
224400,FL,SACRAMENTO,912600,1147247.71,30.1515,-82.6126,Residential,Masonry,4,USA
123936,FL,SACRAMENTO,1920744.9,2837762.3,30.1515,-82.6126,Commercial,Reinforced Masonry,4,USA
333818,FL,SACRAMENTO,455754.6,696809.59,30.1515,-82.6126,Residential,Masonry,4,USA
254323,FL,ELK GROVE,1552693.95,1552594.58,30.1515,-82.6126,Residential,Masonry,4,USA
247444,FL,CITRUS HEIGHTS,8910,13521.83,30.1515,-82.6126,Residential,Wood,4,USA
882598,FL,ELK GROVE,398968.2,424087.24,30.1515,-82.6126,Residential,Masonry,4,USA
386918,FL,CARMICHAEL,4500,4238.41,30.1515,-82.6126,Residential,Wood,4,USA
497337,FL,ELK GROVE,31071.6,57802.5,30.1515,-82.6126,Residential,Wood,4,USA
526844,FL,SACRAMENTO,4956125.85,7279557.65,30.1515,-82.6126,Commercial,Reinforced Masonry,4,USA
623400,FL,ELK GROVE,40500,34160.94,30.1515,-82.6126,Residential,Wood,4,USA
826170,FL,SACRAMENTO,135868.99,234280.26,30.185885,-82.614795,Residential,Wood,1,USA
185483,FL,SACRAMENTO,36784.23,58447.64,30.185885,-82.614795,Residential,Wood,1,USA
920003,FL,RANCHO CORDOVA,1086940.9,1770235.43,30.185885,-82.614795,Residential,Masonry,1,USA
274246,FL,SACRAMENTO,16767.17,17228.6,30.16649,-82.63503,Residential,Wood,1,USA
423636,FL,POLLOCK PINES,1404900,1840643.78,30.176,-82.65581,Residential,Masonry,1,USA
970906,FL,SACRAMENTO,4696520.5,6342697.9,30.00777,-82.59694,Commercial,Reinforced Masonry,3,USA
227898,FL,SACRAMENTO,67892.48,86628.09,30.17509,-82.66252,Residential,Wood,1,USA
525138,FL,SACRAMENTO,86056.32,125938.17,30.17501,-82.66205,Residential,Wood,1,USA
923627,FL,POLLOCK PINES,67892.48,64169.8,30.174776,-82.662277,Residential,Wood,1,USA
619743,FL,SACRAMENTO,67892.48,80898.23,30.17476,-82.66251,Residential,Wood,1,USA
910727,FL,SACRAMENTO,86056.32,91244.65,30.1745,-82.66205,Residential,Wood,1,USA
363647,FL,ELK GROVE,67892.48,92333.77,30.17447,-82.66251,Residential,Wood,1,USA
512519,FL,ELK GROVE,101009.36,98181.1,30.17417,-82.66218,Residential,Wood,1,USA
904304,FL,ELK GROVE,67892.48,66272.56,30.17451,-82.66351,Residential,Wood,1,USA
835349,FL,SACRAMENTO,67892.48,99945.87,30.17475,-82.66314,Residential,Wood,1,USA
891725,FL,SACRAMENTO,86056.32,139415.11,30.17514,-82.66341,Residential,Wood,1,USA
923503,FL,ELK GROVE,86056.32,106664.4,30.17474,-82.66348,Residential,Wood,1,USA
292347,FL,ELK GROVE,132603.34,115117.07,30.17664,-82.66314,Residential,Wood,3,USA
363828,FL,GOLD RIVER,132603.34,216561.94,30.17638,-82.66314,Residential,Wood,3,USA
110490,FL,SACRAMENTO,91764.15,70364.02,30.17623,-82.66406,Residential,Wood,3,USA
480733,FL,ELK GROVE,457854.5,345588.57,30.17698,-82.67019,Residential,Masonry,4,USA
993346,FL,SACRAMENTO,385480.82,558330.42,30.174486,-82.671326,Residential,Masonry,4,USA
934992,FL,RANCHO CORDOVA,213596.46,190329.82,29.7917,-81.4271,Residential,Wood,4,USA
645841,FL,RANCHO CORDOVA,1051338.42,1069841.98,29.7917,-81.4271,Residential,Masonry,4,USA
747846,FL,SACRAMENTO,6472.62,9957.87,29.7917,-81.4271,Residential,Wood,4,USA
482457,FL,ORANGEVALE,159041.52,249984.64,29.776566,-81.47171,Residential,Wood,1,USA
574787,FL,ELK GROVE,12945.24,19024.97,29.776566,-81.47171,Residential,Wood,1,USA
831418,FL,ELK GROVE,29589.12,35207.53,29.776566,-81.47171,Residential,Wood,1,USA
968562,FL,SACRAMENTO,12945.24,16859.05,29.776566,-81.47171,Residential,Wood,1,USA
576324,FL,FOLSOM,29061,40749.33,29.7255,-81.466309,Residential,Wood,1,USA
290435,FL,ELK GROVE,48087,68008.1,29.7255,-81.466309,Residential,Wood,1,USA
526086,FL,SACRAMENTO,128628,133425.18,29.7255,-81.466309,Residential,Wood,1,USA
119823,FL,ELK GROVE,128628,168246.71,29.7255,-81.466309,Residential,Wood,1,USA
497414,FL,SACRAMENTO,128628,176279.14,29.7255,-81.466309,Residential,Wood,1,USA
340883,FL,EL DORADO HILLS,4968,5265.92,29.7255,-81.466309,Residential,Wood,1,USA
892551,FL,SACRAMENTO,157005,131774.3,29.7255,-81.466309,Residential,Wood,1,USA
670595,FL,RANCHO MURIETA,459,847.36,29.7255,-81.466309,Residential,Wood,1,USA
194101,FL,WILTON,459,428.69,29.7255,-81.466309,Residential,Wood,1,USA
167200,FL,ELK GROVE,1062,1602.72,29.7255,-81.466309,Residential,Wood,1,USA
139064,FL,SACRAMENTO,2304,2474.16,29.7255,-81.466309,Residential,Wood,1,USA
846636,FL,SACRAMENTO,1476,1935.04,29.7255,-81.466309,Residential,Wood,1,USA
310177,FL,ANTELOPE,185040,313975.87,30.57332,-81.45291,Residential,Wood,1,USA
865452,FL,SACRAMENTO,11095.92,11961.62,30.67464,-81.46114,Residential,Wood,3,USA
783429,FL,ELK GROVE,8321.94,9646.79,30.67464,-81.46114,Residential,Wood,3,USA
878060,FL,GREENWOOD,199726.56,277743.75,30.67423,-81.46052,Residential,Wood,1,USA
935342,FL,ELK GROVE,118356.48,182860.76,30.67423,-81.46052,Residential,Wood,1,USA
456376,FL,SACRAMENTO,17568.54,29936.79,30.67423,-81.46052,Residential,Wood,1,USA
363001,FL,ELK GROVE,147945.6,238338.59,30.67453,-81.46016,Residential,Wood,1,USA
478864,FL,RANCHO CORDOVA,724933.44,767347.85,30.67513,-81.44708,Residential,Masonry,1,USA
600402,FL,ELK GROVE,8284485.6,8073943.68,30.64687,-81.45801,Commercial,Reinforced Masonry,1,USA
483983,FL,FOLSOM,438498,636264.11,30.650143,-81.454407,Residential,Masonry,1,USA
991615,FL,ELK GROVE,99960.9,88679.21,30.6202,-81.4719,Residential,Wood,4,USA
644573,FL,ELK GROVE,669692.78,841130.78,30.576765,-81.453979,Residential,Masonry,1,USA
853278,FL,ELK GROVE,240539.39,412765.59,30.576765,-81.453979,Residential,Wood,1,USA
100658,FL,FOLSOM,331518.28,464703.76,30.6202,-81.4719,Residential,Wood,4,USA
433115,FL,FOLSOM,5919.86,9839.94,30.576765,-81.453979,Residential,Wood,1,USA
760337,FL,EL DORADO HILLS,77426.73,73196.13,30.61988,-81.46815,Residential,Wood,1,USA
884738,FL,EL DORADO HILLS,765763.8,735948.78,30.576765,-81.453979,Residential,Masonry,1,USA
610102,FL,SACRAMENTO,7532014.45,10710000,30.671095,-81.462097,Commercial,Reinforced Masonry,1,USA
830823,FL,EL DORADO HILLS,963962.79,977226.92,30.67,-81.462,Residential,Masonry,3,USA
618364,FL,CITRUS HEIGHTS,121066.57,115414.7,30.596535,-81.546837,Residential,Wood,1,USA
712563,FL,SACRAMENTO,70964.84,72362.85,30.596535,-81.546837,Residential,Wood,1,USA
493030,FL,ELK GROVE,755749,658571.77,30.57326,-81.45367,Residential,Masonry,1,USA
188150,FL,SACRAMENTO,2162232,2520816.55,30.65372,-81.45105,Commercial,Reinforced Masonry,1,USA
589642,FL,SACRAMENTO,615141.68,895926.17,30.63945,-81.455553,Residential,Masonry,1,USA
846109,FL,SACRAMENTO,135000,138827.52,30.570326,-81.451576,Residential,Wood,3,USA
399079,FL,SACRAMENTO,161748,235301.93,30.5708,-81.44959,Residential,Wood,1,USA
680135,FL,SACRAMENTO,164484,194814.85,30.5708,-81.44959,Residential,Wood,1,USA
621379,FL,SACRAMENTO,170532,178465.15,30.571087,-81.448578,Residential,Wood,1,USA
606710,FL,SACRAMENTO,181980,181216.05,30.570854,-81.448212,Residential,Wood,1,USA
443319,FL,SACRAMENTO,181980,151151.13,30.571154,-81.448433,Residential,Wood,1,USA
228591,FL,RANCHO MURIETA,186012,176389.97,30.5708,-81.44959,Residential,Wood,1,USA
721610,FL,SACRAMENTO,192348,210005.55,30.571323,-81.450188,Residential,Wood,1,USA
507395,FL,ELK GROVE,197604,203450.71,30.570711,-81.448067,Residential,Wood,1,USA
213399,FL,SACRAMENTO,198468,202538.58,30.571777,-81.449326,Residential,Wood,1,USA
579400,FL,ELK GROVE,198612,226675.88,30.5716,-81.45134,Residential,Wood,1,USA
509951,FL,GALT,200052,335395.98,30.57098,-81.44838,Residential,Wood,1,USA
930798,FL,SACRAMENTO,201276,216909.11,30.571613,-81.450577,Residential,Wood,1,USA
729247,FL,NORTH HIGHLANDS,207324,252344.61,30.5708,-81.44959,Residential,Wood,1,USA
288344,FL,SACRAMENTO,208836,310058.81,30.5708,-81.44959,Residential,Wood,1,USA
275351,FL,RANCHO CORDOVA,212436,225030.91,30.57164,-81.450279,Residential,Wood,1,USA
976690,FL,SACRAMENTO,218052,332681.94,30.571306,-81.45015,Residential,Wood,1,USA
507111,FL,SACRAMENTO,218412,222125,30.571608,-81.450661,Residential,Wood,1,USA
547458,FL,NORTH HIGHLANDS,221076,277280.37,30.571609,-81.450615,Residential,Wood,1,USA
827732,FL,SACRAMENTO,226764,303833.37,30.571665,-81.450089,Residential,Wood,1,USA
229489,FL,ELVERTA,237132,282225.02,30.571615,-81.450531,Residential,Wood,1,USA
175251,FL,NORTH HIGHLANDS,239652,178583.88,30.571812,-81.448822,Residential,Wood,1,USA
590043,FL,SACRAMENTO,245052,241166.46,30.571596,-81.450874,Residential,Wood,1,USA
476037,FL,SACRAMENTO,245052,306551.23,30.5708,-81.44959,Residential,Wood,1,USA
674960,FL,SACRAMENTO,257868,338372.33,30.57086,-81.448174,Residential,Wood,1,USA
743790,FL,SACRAMENTO,6381518.4,8757880.98,30.570326,-81.451576,Commercial,Reinforced Masonry,3,USA
817283,FL,GALT,15390000,11790000,30.570221,-81.451309,Commercial,Reinforced Concrete,1,USA
201980,FL,FAIR OAKS,235696.5,353171.41,30.64448,-81.45489,Residential,Wood,1,USA
351505,FL,SACRAMENTO,18000,16830,30.653568,-81.449318,Residential,Wood,1,USA
798806,FL,ELK GROVE,1772074.8,1768133.71,30.65118,-81.44969,Residential,Masonry,1,USA
153643,FL,SACRAMENTO,95922,150073.42,30.65118,-81.44969,Residential,Wood,1,USA
683653,FL,SACRAMENTO,20763,20966.31,30.65118,-81.44969,Residential,Wood,1,USA
475264,FL,SACRAMENTO,16560000,20610000,30.639568,-81.442482,Commercial,Reinforced Concrete,1,USA
912944,FL,NORTH HIGHLANDS,582759.1,1020490.44,30.59491,-81.539909,Residential,Masonry,4,USA
945134,FL,SACRAMENTO,2244.53,2937.46,30.59491,-81.539909,Residential,Wood,4,USA
219959,FL,SACRAMENTO,196396.18,190425.74,30.59491,-81.539909,Residential,Wood,4,USA
793504,FL,SACRAMENTO,21500.33,19687.96,30.6119,-81.455986,Residential,Wood,3,USA
450423,FL,SACRAMENTO,74091.86,110035.31,30.596535,-81.546837,Residential,Wood,1,USA
505178,FL,ELK GROVE,86863.23,123807.2,30.596535,-81.546837,Residential,Wood,1,USA
408688,FL,CITRUS HEIGHTS,796134.02,838972.4,30.66665,-81.45235,Residential,Masonry,1,USA
477759,FL,SACRAMENTO,298522.2,227585.86,30.657654,-81.463341,Residential,Wood,1,USA
882441,FL,ELK GROVE,23118.64,23505.92,30.65838,-81.46358,Residential,Wood,1,USA
727602,FL,SACRAMENTO,63407.91,78862,30.617165,-81.461609,Residential,Wood,1,USA
313226,FL,CITRUS HEIGHTS,285728.39,288837.12,30.617874,-81.457794,Residential,Wood,1,USA
337027,FL,SACRAMENTO,9016.27,9045.12,30.663744,-81.453941,Residential,Wood,4,USA
649251,FL,ANTELOPE,80915.23,98214.9,30.67024,-81.454628,Residential,Wood,3,USA
142564,FL,SACRAMENTO,28898.3,36004.04,30.61945,-81.465965,Residential,Wood,1,USA
197782,FL,SACRAMENTO,1505741.49,2197471.6,30.610081,-81.446259,Residential,Masonry,1,USA
709787,FL,RANCHO CORDOVA,53078.59,62305.99,30.610081,-81.446259,Residential,Wood,1,USA
655065,FL,SACRAMENTO,162952.72,185883.43,30.67044,-81.46572,Residential,Wood,3,USA
176778,FL,SACRAMENTO,2261249.55,1825782.64,30.671413,-81.464905,Commercial,Reinforced Masonry,1,USA
559179,FL,ANTELOPE,1363101.75,1619364.87,30.65501,-81.45117,Residential,Masonry,1,USA
698071,FL,NASSAU COUNTY,295716.54,247758.41,30.665545,-81.43205,Residential,Wood,3,USA
642950,FL,NASSAU COUNTY,392231.24,344336.66,30.63862,-81.43702,Residential,Masonry,4,USA
477240,FL,NASSAU COUNTY,192917.17,238214.12,30.66665,-81.45235,Residential,Wood,1,USA
672348,FL,NASSAU COUNTY,168339.59,269983.03,30.63833,-81.44564,Residential,Wood,1,USA
922844,FL,NASSAU COUNTY,316029.52,337216.14,30.617874,-81.457794,Residential,Wood,1,USA
948580,FL,NASSAU COUNTY,151505.63,185310.32,30.67069,-81.458395,Residential,Wood,3,USA
364552,FL,NASSAU COUNTY,280565.98,329505.66,30.65838,-81.46358,Residential,Wood,1,USA
561601,FL,NASSAU COUNTY,460128.2,792672.06,30.671312,-81.46492,Residential,Masonry,1,USA
584749,FL,NASSAU COUNTY,324000,506745.07,30.626793,-81.485847,Residential,Wood,1,USA
601327,FL,COLUMBIA COUNTY,212850,340143.88,29.925,-82.7109,Residential,Wood,1,USA
302578,FL,COLUMBIA COUNTY,135000,150719.13,29.9248,-82.71114,Residential,Wood,1,USA
756585,FL,COLUMBIA COUNTY,94284,100714.17,29.90334,-82.63364,Residential,Wood,1,USA
627591,FL,COLUMBIA COUNTY,6300,9566.42,29.919149,-82.639236,Residential,Wood,1,USA
663563,FL,COLUMBIA COUNTY,1248407.1,1417531.31,29.9301,-82.7088,Residential,Masonry,3,USA
108959,FL,COLUMBIA COUNTY,114170.34,136068.22,30.041415,-82.70641,Residential,Wood,3,USA
951069,FL,COLUMBIA COUNTY,498344.66,434656.21,29.92143,-82.71411,Residential,Masonry,1,USA
490641,FL,BAKER COUNTY,910.22,1346.55,30.265605,-82.16215,Residential,Wood,3,USA
443968,FL,BAKER COUNTY,3195.34,4551.39,30.27125,-82.160875,Residential,Wood,3,USA
433688,FL,CLAY COUNTY,172157.99,171582.99,29.980408,-81.658165,Residential,Wood,1,USA
168578,FL,CLAY COUNTY,945000,750524.67,30.0517,-81.82975,Residential,Masonry,1,USA
294375,FL,CLAY COUNTY,76500,121368.78,30.0517,-81.82975,Residential,Wood,1,USA
902110,FL,CLAY COUNTY,76500,94517.28,30.0517,-81.82975,Residential,Wood,1,USA
279816,FL,CLAY COUNTY,431726.4,640896.11,29.98839,-81.70777,Residential,Masonry,1,USA
994565,FL,CLAY COUNTY,11767.98,14137.95,29.9826,-81.7238,Residential,Wood,4,USA
930535,FL,CLAY COUNTY,15981.99,25400.89,29.9826,-81.7238,Residential,Wood,4,USA
844642,FL,CLAY COUNTY,35302.09,47059.67,29.9826,-81.7238,Residential,Wood,4,USA
292887,FL,CLAY COUNTY,26396.15,28938.78,29.9826,-81.7238,Residential,Wood,4,USA
655128,FL,CLAY COUNTY,7536.5,10216,29.9826,-81.7238,Residential,Wood,4,USA
164038,FL,CLAY COUNTY,13198.07,16695.56,29.9826,-81.7238,Residential,Wood,4,USA
163057,FL,CLAY COUNTY,29410.75,25890.52,29.9826,-81.7238,Residential,Wood,4,USA
327730,FL,CLAY COUNTY,13198.07,11239.53,29.9826,-81.7238,Residential,Wood,4,USA
218187,FL,CLAY COUNTY,25780.36,35155,29.9826,-81.7238,Residential,Wood,4,USA
697530,FL,CLAY COUNTY,9806.65,16990.72,29.9826,-81.7238,Residential,Wood,4,USA
619053,FL,CLAY COUNTY,15992.1,23431.62,29.9826,-81.7238,Residential,Wood,4,USA
431406,FL,CLAY COUNTY,9806.65,7026.15,29.9826,-81.7238,Residential,Wood,3,USA
256801,FL,CLAY COUNTY,13198.07,22117.33,29.9826,-81.7238,Residential,Wood,4,USA
571398,FL,CLAY COUNTY,304842.43,250185.41,29.9826,-81.7238,Residential,Wood,3,USA
239669,FL,CLAY COUNTY,13198.07,13200.19,29.9826,-81.7238,Residential,Wood,3,USA
530369,FL,CLAY COUNTY,48252.01,36139.79,29.9826,-81.7238,Residential,Wood,4,USA
948187,FL,CLAY COUNTY,9806.65,13926.22,29.9826,-81.7238,Residential,Wood,3,USA
571059,FL,CLAY COUNTY,9190.86,14678.43,29.9826,-81.7238,Residential,Wood,4,USA
470539,FL,CLAY COUNTY,68931.45,85159.98,29.993125,-81.67742,Residential,Wood,3,USA
791046,FL,CLAY COUNTY,68931.45,99578.92,29.993125,-81.67742,Residential,Wood,3,USA
563971,FL,CLAY COUNTY,27572.58,30033.98,29.993125,-81.67742,Residential,Wood,3,USA
823903,FL,CLAY COUNTY,13786.29,22316.42,29.993125,-81.67742,Residential,Wood,3,USA
812504,FL,CLAY COUNTY,9190.86,10540.08,29.9826,-81.7238,Residential,Wood,4,USA
597719,FL,CLAY COUNTY,102937.63,94857.02,29.995916,-81.689049,Residential,Wood,1,USA
716513,FL,CLAY COUNTY,19605.94,18479.62,30.004622,-81.683899,Residential,Wood,3,USA
378286,FL,CLAY COUNTY,13198.07,16161.17,29.9826,-81.7238,Residential,Wood,4,USA
698982,FL,CLAY COUNTY,9806.65,12391.68,29.9826,-81.7238,Residential,Wood,4,USA
624550,FL,CLAY COUNTY,9806.65,13533.17,29.9826,-81.7238,Residential,Wood,4,USA
666076,FL,CLAY COUNTY,11764.3,11058.82,29.9826,-81.7238,Residential,Wood,4,USA
474145,FL,CLAY COUNTY,7619.22,6304.92,29.9826,-81.7238,Residential,Wood,4,USA
572929,FL,CLAY COUNTY,13198.07,18039.84,29.9826,-81.7238,Residential,Wood,4,USA
640205,FL,CLAY COUNTY,6433.6,8588.09,29.9826,-81.7238,Residential,Wood,3,USA
